station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
null|MASKSTID|ICOADS-302-RJEU26|ICOADS-302-RJEU26-SST|-137.9|69.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|272.05|0|2|0|2|0|2
SIKULIAQ (AWS)|WDG7520|ICOADS-302-RJEU27|ICOADS-302-RJEU27-SST|-137.9|69.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|272.05|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEU28|ICOADS-302-RJEU28-SST|-137.8|69.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|272.05|2|2|0|2|0|2
SIKULIAQ (AWS)|WDG7520|ICOADS-302-RJEU29|ICOADS-302-RJEU29-SST|-137.8|69.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|272.05|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEU2C|ICOADS-302-RJEU2C-SST|-4.1|66.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|282.15|0|2|0|2|0|2
KAPITAN NAZIN|UHOW|ICOADS-302-RJEU2D|ICOADS-302-RJEU2D-SST|-4.1|66.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|282.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEU6L|ICOADS-302-RJEU6L-SST|18.7|58.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.25|0|2|0|2|0|2
TRANSPAPER|SKEC|ICOADS-302-RJEU6M|ICOADS-302-RJEU6M-SST|18.7|58.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.25|0|2|0|2|0|2
DENEB|DBBA|ICOADS-302-RJEUAU|ICOADS-302-RJEUAU-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.65|2|2|0|2|0|2
DENEB|DBBA|ICOADS-302-RJEUAV|ICOADS-302-RJEUAV-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.65|2|2|0|2|0|2
ELISABETH MANN BORGESE|DBKR|ICOADS-302-RJEUAW|ICOADS-302-RJEUAW-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.75|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUAX|ICOADS-302-RJEUAX-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.75|0|2|0|2|0|2
ELBE|DBEA|ICOADS-302-RJEUB7|ICOADS-302-RJEUB7-SST|8.2|54.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.35|2|2|0|2|0|2
ELBE|DBEA|ICOADS-302-RJEUB8|ICOADS-302-RJEUB8-SST|8.2|54.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.35|2|2|0|2|0|2
NEUWERK|DBJM|ICOADS-302-RJEUBF|ICOADS-302-RJEUBF-SST|9.0|53.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.75|2|2|0|2|0|2
NEUWERK|DBJM|ICOADS-302-RJEUBG|ICOADS-302-RJEUBG-SST|9.0|53.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.75|2|2|0|2|0|2
SEEFALKE|DBFI|ICOADS-302-RJEUBR|ICOADS-302-RJEUBR-SST|7.5|53.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUBS|ICOADS-302-RJEUBS-SST|7.5|53.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.15|0|2|0|2|0|2
MEERKATZE|DBFX|ICOADS-302-RJEUBT|ICOADS-302-RJEUBT-SST|7.6|53.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.35|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUBU|ICOADS-302-RJEUBU-SST|7.6|53.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.35|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUC1|ICOADS-302-RJEUC1-SST|0.4|53.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.15|0|2|0|2|0|2
OVERSEAS SUN COAST|V7A2557|ICOADS-302-RJEUC2|ICOADS-302-RJEUC2-SST|0.4|53.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.15|0|2|0|2|0|2
HEINCKE|DBCK|ICOADS-302-RJEUCJ|ICOADS-302-RJEUCJ-SST|8.6|53.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.05|2|2|0|2|0|2
HEINCKE|DBCK|ICOADS-302-RJEUCK|ICOADS-302-RJEUCK-SST|8.6|53.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.05|2|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUCM|ICOADS-302-RJEUCM-SST|-130.0|53.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.85|0|2|0|2|0|2
EVER LUCID|BKIY|ICOADS-302-RJEUDE|ICOADS-302-RJEUDE-SST|-155.7|52.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|283.15|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUDF|ICOADS-302-RJEUDF-SST|-155.7|52.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|283.15|0|2|0|2|0|2
NYK ARGUS|HPZA|ICOADS-302-RJEUDY|ICOADS-302-RJEUDY-SST|-140.4|51.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|285.15|0|2|0|2|0|2
null|6200304|ICOADS-302-RJEUE4|ICOADS-302-RJEUE4-SST|1.8|51.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.75|0|2|0|33|0|2
null|6200304|ICOADS-302-RJEUE5|ICOADS-302-RJEUE5-SST|1.8|51.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|287.75|2|2|0|33|0|2
MAERSK SINGAPORE|9V5242|ICOADS-302-RJEUED|ICOADS-302-RJEUED-SST|-143.6|50.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUEE|ICOADS-302-RJEUEE-SST|-143.6|50.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.15|0|2|0|2|0|2
