station_name|primary_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|report_type|value_significance
null|MASKSTID|ICOADS-302-RJEU26|ICOADS-302-RJEU26-SST|-137.9|69.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|272.05|0|1|0|0|2
SIKULIAQ (AWS)|WDG7520|ICOADS-302-RJEU27|ICOADS-302-RJEU27-SST|-137.9|69.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|272.05|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEU28|ICOADS-302-RJEU28-SST|-137.8|69.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|272.05|2|1|0|0|2
SIKULIAQ (AWS)|WDG7520|ICOADS-302-RJEU29|ICOADS-302-RJEU29-SST|-137.8|69.7|0.0|2020-11-01 00:00:00+00|2|11|95|5|272.05|2|3|0|0|2
null|MASKSTID|ICOADS-302-RJEU2C|ICOADS-302-RJEU2C-SST|-4.1|66.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|282.15|0|1|0|0|2
KAPITAN NAZIN|UHOW|ICOADS-302-RJEU2D|ICOADS-302-RJEU2D-SST|-4.1|66.0|0.0|2020-11-01 00:00:00+00|2|11|95|5|282.15|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEU6L|ICOADS-302-RJEU6L-SST|18.7|58.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.25|0|1|0|0|2
TRANSPAPER|SKEC|ICOADS-302-RJEU6M|ICOADS-302-RJEU6M-SST|18.7|58.2|0.0|2020-11-01 00:00:00+00|2|11|95|5|284.25|0|3|0|0|2
DENEB|DBBA|ICOADS-302-RJEUAU|ICOADS-302-RJEUAU-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.65|2|1|0|0|2
DENEB|DBBA|ICOADS-302-RJEUAV|ICOADS-302-RJEUAV-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.65|2|3|0|0|2
ELISABETH MANN BORGESE|DBKR|ICOADS-302-RJEUAW|ICOADS-302-RJEUAW-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.75|0|3|0|0|2
null|MASKSTID|ICOADS-302-RJEUAX|ICOADS-302-RJEUAX-SST|12.1|54.1|0.0|2020-11-01 00:00:00+00|2|11|95|5|285.75|0|1|0|0|2
